datetime_ist,timestamp,open,high,low,close,volume
2024-12-03 09:15:00+05:30,1733197500,909.625,915.75,908.3,912.5,11357730
2024-12-03 09:30:00+05:30,1733198400,912.725,914.15,909.325,910.1,2802098
2024-12-03 09:45:00+05:30,1733199300,910.125,913.25,908.95,912.75,1437250
2024-12-03 10:00:00+05:30,1733200200,912.7,914.45,911.625,913.825,1552056
2024-12-03 10:15:00+05:30,1733201100,913.725,917.5,913.625,917.475,1956266
2024-12-03 10:30:00+05:30,1733202000,917.625,918.45,916.3,917.8,2078120
2024-12-03 10:45:00+05:30,1733202900,917.85,918.7,914.975,916.9,1556126
2024-12-03 11:00:00+05:30,1733203800,916.9,918.15,916.55,917.15,1122828
2024-12-03 11:15:00+05:30,1733204700,917.225,917.75,916.35,916.55,648654
2024-12-03 11:30:00+05:30,1733205600,916.6,917.5,914.775,915.075,672950
2024-12-03 11:45:00+05:30,1733206500,915.025,915.45,913.4,913.75,669634
2024-12-03 12:00:00+05:30,1733207400,913.75,914.025,912.35,913.25,672330
2024-12-03 12:15:00+05:30,1733208300,913.25,913.75,911.55,912.075,800560
2024-12-03 12:30:00+05:30,1733209200,912.1,913.975,911.85,913.45,771244
2024-12-03 12:45:00+05:30,1733210100,913.425,913.525,912.15,912.625,563298
2024-12-03 13:00:00+05:30,1733211000,912.625,913.4,912.35,912.9,500518
2024-12-03 13:15:00+05:30,1733211900,912.875,913.5,911.3,912.75,738160
2024-12-03 13:30:00+05:30,1733212800,913.05,914.0,912.55,913.325,930822
2024-12-03 13:45:00+05:30,1733213700,913.325,915.475,913.0,914.625,986454
2024-12-03 14:00:00+05:30,1733214600,914.65,915.75,914.25,914.875,1137386
2024-12-03 14:15:00+05:30,1733215500,914.9,916.05,914.7,915.45,1285102
2024-12-03 14:30:00+05:30,1733216400,915.35,915.85,914.0,915.375,1404998
2024-12-03 14:45:00+05:30,1733217300,915.375,915.4,914.0,914.15,1165162
2024-12-03 15:00:00+05:30,1733218200,914.15,914.15,912.05,912.675,3515850
2024-12-03 15:15:00+05:30,1733219100,912.6,914.9,912.15,912.65,3082580
2024-12-03 15:30:00+05:30,1733220000,913.15,913.15,913.15,913.15,1776
2024-12-04 09:15:00+05:30,1733283900,916.475,920.4,915.575,916.85,4751040
2024-12-04 09:30:00+05:30,1733284800,916.9,920.325,916.325,920.0,1227976
2024-12-04 09:45:00+05:30,1733285700,919.975,922.4,919.975,921.825,1396418
2024-12-04 10:00:00+05:30,1733286600,921.85,924.0,921.85,922.975,1439512
2024-12-04 10:15:00+05:30,1733287500,922.9,925.0,922.7,924.675,1144384
2024-12-04 10:30:00+05:30,1733288400,924.675,925.9,923.825,925.5,1893302
